Camera.Trap.Name,deployment_id,elevation
MTRR.0,MTRR-00 10/30/2019,1009
MTRR.1,MTRR-01 10/30/2019,1020
MTRR.10,MTRR-10 10/29/2019,1571
MTRR.11,MTRR-11 11/30/2019,1012
MTRR.12,MTRR-12 11/30/2019,1000
MTRR.13,MTRR-13 11/30/2019,1025
MTRR.14,MTRR-14 11/30/2019,1035
MTRR.15,MTRR-15 12/01/2019,1115
MTRR.16,MTRR-16 12/02/2019,1396
MTRR.17,MTRR-17 12/01/2019,1021
MTRR.18,MTRR-18 12/01/2019,1133
MTRR.19,MTRR-19 12/01/2019,1151
MTRR.2,MTRR-02 10/30/2019,1048
MTRR.20,MTRR-20 12/05/2019,1788
MTRR.21,MTRR-21 12/05/2019,2029
MTRR.22,MTRR-22 12/05/2019,1824
MTRR.3,MTRR-03 10/30/2019,1151
MTRR.4,MTRR-04 10/30/2019,1265
MTRR.5,MTRR-05 10/30/2019,1383
MTRR.6,MTRR-06 10/30/2019,1461
MTRR.7,MTRR-07 10/29/2019,1500
MTRR.8,MTRR-08 10/29/2019,1507
MTRR.9,MTRR-09 10/29/2019,1545
